SYMBOL,QUOTE_TYPE,REGION,SHORT_NAME,FUND_LONG_NAME,CURRENCY,FUND_CATEGORY,FUND_FAMILY,EXCHANGE_CODE,EXCHANGE_NAME,EXCHANGE_TIMEZONE,AVG_VOL_3MONTH,AVG_VOL_10DAY,TOTAL_NET_ASSETS,DAY50_MOVING_AVERAGE,DAY200_MOVING_AVERAGE,WEEK52_HIGH_LOW_CHANGE,WEEK52_HIGH_LOW_CHANGE_PERC,WEEK52_HIGH,WEEK52_HIGH_CHANGE,WEEK52_HIGH_CHANGE_PERC,WEEK52_LOW,WEEK52_LOW_CHANGE,WEEK52_LOW_CHANGE_PERC,INVESTMENT_STRATEGY,FUND_YIELD,INCEPTION_DATE,ANNUAL_HOLDINGS_TURNOVER,INVESTMENT_TYPE,SIZE_TYPE,FUND_ANNUAL_REPORT_NET_EXPENSE_RATIO,CATEGORY_ANNUAL_REPORT_NET_EXPENSE_RATIO,ASSET_STOCKS,ASSET_BONDS,FUND_SECTOR_BASIC_MATERIALS,FUND_SECTOR_COMMUNICATION_SERVICES,FUND_SECTOR_CONSUMER_CYCLICAL,FUND_SECTOR_CONSUMER_DEFENSIVE,FUND_SECTOR_ENERGY,FUND_SECTOR_FINANCIAL_SERVICES,FUND_SECTOR_HEALTHCARE,FUND_SECTOR_INDUSTRIALS,FUND_SECTOR_REAL_ESTATE,FUND_SECTOR_TECHNOLOGY,FUND_SECTOR_UTILITIES,FUND_PRICE_BOOK_RATIO,FUND_PRICE_CASHFLOW_RATIO,FUND_PRICE_EARNING_RATIO,FUND_PRICE_SALES_RATIO,FUND_BOND_MATURITY,FUND_BOND_DURATION,FUND_BONDS_US_GOVERNMENT,FUND_BONDS_AAA,FUND_BONDS_AA,FUND_BONDS_A,FUND_BONDS_BBB,FUND_BONDS_BB,FUND_BONDS_B,FUND_BONDS_BELOW_B,FUND_BONDS_OTHERS,TOP10_HOLDINGS,TOP10_HOLDINGS_TOTAL_ASSETS,RETURNS_AS_OF_DATE,FUND_RETURN_YTD,CATEGORY_RETURN_YTD,FUND_RETURN_1MONTH,CATEGORY_RETURN_1MONTH,FUND_RETURN_3MONTHS,CATEGORY_RETURN_3MONTHS,FUND_RETURN_1YEAR,CATEGORY_RETURN_1YEAR,FUND_RETURN_3YEARS,CATEGORY_RETURN_3YEARS,FUND_RETURN_5YEARS,CATEGORY_RETURN_5YEARS,FUND_RETURN_10YEARS,CATEGORY_RETURN_10YEARS,YEARS_UP,YEARS_DOWN,FUND_RETURN_2020,CATEGORY_RETURN_2020,FUND_RETURN_2019,CATEGORY_RETURN_2019,FUND_RETURN_2018,CATEGORY_RETURN_2018,FUND_RETURN_2017,CATEGORY_RETURN_2017,FUND_RETURN_2016,CATEGORY_RETURN_2016,FUND_RETURN_2015,CATEGORY_RETURN_2015,FUND_RETURN_2014,CATEGORY_RETURN_2014,FUND_RETURN_2013,CATEGORY_RETURN_2013,FUND_RETURN_2012,CATEGORY_RETURN_2012,FUND_RETURN_2011,CATEGORY_RETURN_2011,FUND_RETURN_2010,CATEGORY_RETURN_2010,FUND_RETURN_2009,CATEGORY_RETURN_2009,FUND_RETURN_2008,CATEGORY_RETURN_2008,FUND_RETURN_2007,CATEGORY_RETURN_2007,FUND_RETURN_2006,CATEGORY_RETURN_2006,FUND_RETURN_2005,CATEGORY_RETURN_2005,FUND_RETURN_2004,CATEGORY_RETURN_2004,FUND_RETURN_2003,CATEGORY_RETURN_2003,FUND_RETURN_2002,CATEGORY_RETURN_2002,FUND_RETURN_2001,CATEGORY_RETURN_2001,FUND_RETURN_2000,CATEGORY_RETURN_2000,FUND_ALPHA_3YEARS,FUND_BETA_3YEARS,FUND_MEAN_ANNUAL_RETURN_3YEARS,FUND_R_SQUARED_3YEARS,FUND_STDEV_3YEARS,FUND_SHARPE_RATIO_3YEARS,FUND_TREYNOR_RATIO_3YEARS,FUND_ALPHA_5YEARS,FUND_BETA_5YEARS,FUND_MEAN_ANNUAL_RETURN_5YEARS,FUND_R_SQUARED_5YEARS,FUND_STDEV_5YEARS,FUND_SHARPE_RATIO_5YEARS,FUND_TREYNOR_RATIO_5YEARS,FUND_ALPHA_10YEARS,FUND_BETA_10YEARS,FUND_MEAN_ANNUAL_RETURN_10YEARS,FUND_R_SQUARED_10YEARS,FUND_STDEV_10YEARS,FUND_SHARPE_RATIO_10YEARS,FUND_TREYNOR_RATIO_10YEARS
aaau,etf,us,,dws rreef real assets fund  class a,usd,,dws,pcx,nysearca,america/new_york,239238,255410.0,384448608.0,17.807,17.818,2.75,0.14146,19.44,-1.72,-0.08848,16.69,1.03,0.06171,"the investment seeks total return in excess of inflation through capital growth and current income. the fund will invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in a combination of investments that the advisor believes offer exposure to ""real assets."" it generally invests between 25% and 75% of fund assets in securities of foreign issuers, including up to 10% of fund assets in issuers located in countries with new or emerging markets.",,2018-07-24,,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""cayman real assets fund ltd."": 0.1098, cci (""crown castle international corp""): 0.0258, lng (""cheniere energy inc""): 0.0241, ""united states treasury notes 1.62%"": 0.0189, fcx (""freeport-mcmoran inc""): 0.0175, ""united states treasury notes 0.12%"": 0.0156, amt (""american tower corp""): 0.0146, wmb (""williams companies inc""): 0.0144, ""lme pri alum futr jul21 xlme 20210719"": 0.0139",1.0,2021-08-31,-0.0465,,,,-0.0467,,-0.079,,0.146,,,,,,2.0,0.0,0.23963,,0.18579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.18,0.07,1.23,0.54,14.93,0.91,187.1,,,,,,,,,,,,,,
aadr,etf,us,allianzgi health sciences fund ,,usd,foreign large growth,virtus,ngm,nasdaqgm,america/new_york,2596,3170.0,88836160.0,64.555,65.297,11.82,0.17042,69.36,-7.8645,-0.11339,57.54,3.9555,0.06874,"the investment seeks long-term capital appreciation. the fund seeks to achieve its objective by normally investing at least 80% of its net assets (plus borrowings made for investment purposes) in health sciences-related companies. the portfolio manager considers health sciences-related companies to include companies that design, manufacture or sell products or services used for or in connection with healthcare, medicine or life sciences. the fund will invest primarily in common stocks and other equity securities.",0.0031,2010-07-20,,blend,large,0.011,0.0066,,,0.2536,0.0736,0.1164,0.0,0.0455,0.1125,0.0799,0.1394,0.0,0.1791,0.0,1.71,7.46,13.34,1.2,,,,,,,,,,,,"azn. l (""astrazeneca plc adr""): 0.0585, mdt (""medtronic plc""): 0.0551, bmy (""bristol-myers squibb company""): 0.0534, pfe (""pfizer inc""): 0.0498, lly (""eli lilly and co""): 0.049, avtr (""avantor inc""): 0.0357, antm (""anthem inc""): 0.0349, nvs (""novartis ag adr""): 0.0341, hznp (""horizon therapeutics plc""): 0.0308, tfx (""teleflex inc""): 0.0272",0.388,2021-06-30,0.094,0.041,0.0049,0.0161,0.0688,0.0508,0.2587,0.1047,0.0803,0.0233,0.1188,0.0824,0.083,0.0243,7.0,3.0,0.12619,,0.35885,,-0.31185,,0.46928,,0.05575,,0.0438,0.01427,-0.0083,-0.03065,0.20878,0.26387,0.12653,0.14598,-0.05806,-0.09042,,0.11984,,0.2908,,-0.42427,,0.31193,,0.21884,,,,,,,,,,,,,-1.3,1.11,0.85,75.96,22.42,0.4,6.11,0.38,1.11,1.1,70.49,19.3,0.62,9.66,3.32,0.96,0.79,73.64,16.78,0.53,8.15
aaxj,etf,us,,american century one choice blend 2015 portfolio investor class,usd,pacific/asia ex-japan stk,american century investments,ngm,nasdaqgm,america/new_york,1036417,1287600.0,5574671872.0,86.132,90.435,19.99,0.19514,102.44,-19.43,-0.18967,82.45,0.56001,0.00679,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (etfs) advised by american century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. the underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large u.s. and foreign companies.",0.011,2008-08-13,0.23,blend,large,0.007,0.0054,,,0.0523,0.1053,0.1683,0.0474,0.0266,0.1824,0.0524,0.0579,0.0391,0.2444,0.0239,2.03,11.7,18.0,1.42,,,,,,,,,,,,"avbnx (""avantis© core fixed income g""): 0.2708, agbgx (""american century global bond g""): 0.1237, avunx (""avantis© u.s. equity g""): 0.081, acllx (""american century nt focused lg cap val g""): 0.0649, apogx (""american century short dur infl probd g""): 0.0622, avgnx (""avantis© short-term fixed income g""): 0.0619, acfgx (""american century focused dynamic gr g""): 0.0526, aingx (""american century inflation-adjs bond g""): 0.0495, lvol (""american century low volatility etf""): 0.0478, avdnx (""avantis© international equity g""): 0.0414",0.3005,2021-07-31,-0.0173,0.0984,-0.0709,-0.0199,-0.06,0.01,0.1859,0.0708,0.0804,0.0024,0.1067,0.0352,0.0535,0.0467,9.0,3.0,0.23865,,0.17398,,-0.14814,,0.40517,,0.04833,,-0.0985,-0.08923,0.03925,0.02285,0.02478,0.02827,0.21386,0.20639,-0.20008,-0.20255,0.15532,0.19485,0.70891,0.73761,,-0.51342,,0.39069,,0.37975,,0.14049,,0.21046,,0.38684,,-0.07992,,0.02745,,-0.16595,1.2,0.9,0.8,74.34,18.48,0.46,7.8,1.89,0.94,0.97,73.28,15.91,0.66,10.37,0.3,0.99,0.55,78.24,16.83,0.36,4.81
abeq,etf,us,thrivent large cap growth fund ,thrivent large cap growth fund class a,usd,large value,thrivent funds,pcx,nysearca,america/new_york,4280,8540.0,49694168.0,27.639,27.389,4.34,0.15069,28.8,-1.69,-0.05868,24.46,2.65,0.10834,"the investment seeks long-term capital appreciation. the fund invests at least 80% of its net assets (plus the amount of any borrowing for investment purposes) in equity securities of large companies. the adviser focuses mainly on the equity securities of large domestic and international companies which have market capitalizations equivalent to those included in widely known indices such as the russell 1000 growth index, s&p 500 index, or the large company market capitalization classifications published by lipper, inc. these companies typically have a market capitalization of approximately $8 billion or more. the fund is non-diversified.",0.0049,2020-01-21,0.36,value,large,0.0088,0.0034,,,0.2174,0.028,0.042,0.1042,0.0606,0.2352,0.1335,0.0147,0.0625,0.0597,0.0422,1.79,12.48,16.71,1.91,,,,,,,,,,,,"amzn (""amazon.com inc""): 0.1102, msft (""microsoft corp""): 0.0755, aapl (""apple inc""): 0.0752, googl (""alphabet inc a""): 0.0749, pypl (""paypal holdings inc""): 0.0469, fb (""facebook inc a""): 0.0464, ma (""mastercard inc a""): 0.0374, adbe (""adobe inc""): 0.0313, sq (""square inc a""): 0.0295, nvda (""nvidia corp""): 0.0292",0.4456,2021-06-30,0.07,0.109,-0.0383,-0.001,0.0378,0.0326,0.2252,0.1704,,0.1053,,0.1536,,0.0655,,,,,,,,,,,,,,-0.0189,,0.1253,,0.30048,,0.14025,,0.04626,,0.16532,,0.25157,,-0.35846,,0.01809,,0.20182,,0.05311,,0.14458,,0.30804,,-0.17206,,-0.0626,,0.06973,,,,,,,,,,,,,,,,,,,,,
aces,etf,us,,american century one choice blend 2015 portfolio i class,usd,miscellaneous sector,american century investments,pcx,nysearca,america/new_york,106048,51400.0,1007483264.0,73.532,72.601,40.67,0.39982,101.72,-33.89,-0.33317,61.05,6.78,0.11106,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (etfs) advised by american century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. the underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large u.s. and foreign companies.",0.0053,2018-06-27,,growth,medium,0.0055,0.0067,0.9992,0.0,0.0096,0.0,0.1412,0.0,0.0301,0.0,0.0,0.1956,0.0353,0.3491,0.239,3.62,15.08,31.27,4.09,,,,,,,,,,,,"avbnx (""avantis© core fixed income g""): 0.2708, agbgx (""american century global bond g""): 0.1237, avunx (""avantis© u.s. equity g""): 0.081, acllx (""american century nt focused lg cap val g""): 0.0649, apogx (""american century short dur infl probd g""): 0.0622, avgnx (""avantis© short-term fixed income g""): 0.0619, acfgx (""american century focused dynamic gr g""): 0.0526, aingx (""american century inflation-adjs bond g""): 0.0495, lvol (""american century low volatility etf""): 0.0478, avdnx (""avantis© international equity g""): 0.0414",0.5039,2021-06-30,-0.0511,,0.0988,,-0.026,,0.9507,,0.462,,,,,,2.0,0.0,1.40147,,0.5151,,,,,,,,,,,-0.02795,,0.39785,,0.25423,,-0.02663,,0.02128,,0.31262,,-0.33986,,0.01815,,0.1485,,0.0159,,0.14628,,0.26847,,-0.1862,,-0.0085,,0.05371,24.18,1.31,3.65,52.02,32.6,1.3,34.5,,,,,,,,,,,,,,
acio,etf,us,american century strategic allo,american century strategic allocation aggressive fund i class,usd,,american century investments,bts,bats,america/new_york,48422,47780.0,232107728.0,31.239,30.098,5.85,0.17884,32.71,-1.39,-0.04249,26.86,4.46,0.16605,"the investment seeks the highest level of total return consistent with its asset mix. the fund's asset allocation strategy diversifies investments among equity securities, bonds and money market instruments. it usually invests 79% of its assets in stocks, 20% of its assets in bonds, and 1% of its assets in cash equivalents. the fund also invests in a variety of debt securities payable in u.s. and foreign currencies. it may invest in any type of u.s. or foreign equity security that meets certain fundamental and technical standards. the fund may invest up to 10% of its assets in below investment-grade securities.",0.0075,2019-07-09,0.46,blend,large,0.0079,,1.0,0.0,0.0299,0.105,0.0895,0.0783,0.0334,0.1489,0.1366,0.1059,0.0259,0.221,0.0256,5.41,18.73,27.27,3.23,,,,,,,,,,,,"avus (""avantis© u.s. equity etf""): 0.077, qgro (""american century us quality growth etf""): 0.0637, fdg (""american century foc dynmc gr etf""): 0.0605, valq (""american century stoxx us qlty val etf""): 0.0575, flv (""american century foc lrg cp val etf""): 0.0562, avem (""avantis© emerging markets equity etf""): 0.0555, qint (""american century quality dvrs intl etf""): 0.0371, avde (""avantis© international equity etf""): 0.0355, avuv (""avantis© u.s. small cap value etf""): 0.0186, korp (""american century dvrs corp bd etf""): 0.0183",0.3143,2021-06-30,0.0876,,0.013,,0.0655,,0.2055,,,,,,,,1.0,0.0,0.09655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acsi,etf,us,,american century one choice blend 2015 portfolio a class,usd,large blend,american century investments,bts,bats,america/new_york,627,450.0,80720528.0,51.63,49.636,11.548,0.21473,53.778,-3.25,-0.06043,42.23,8.298,0.1965,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (etfs) advised by american century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. the underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large u.s. and foreign companies.",0.007,2016-10-31,0.67,blend,large,0.0066,0.0036,0.9995,0.0,0.0,0.1555,0.2836,0.1045,0.0,0.1188,0.0801,0.0763,0.0,0.1401,0.041,3.95,16.7,23.53,1.88,,,,,,,,,,,,"avbnx (""avantis© core fixed income g""): 0.2708, agbgx (""american century global bond g""): 0.1237, avunx (""avantis© u.s. equity g""): 0.081, acllx (""american century nt focused lg cap val g""): 0.0649, apogx (""american century short dur infl probd g""): 0.0622, avgnx (""avantis© short-term fixed income g""): 0.0619, acfgx (""american century focused dynamic gr g""): 0.0526, aingx (""american century inflation-adjs bond g""): 0.0495, lvol (""american century low volatility etf""): 0.0478, avdnx (""avantis© international equity g""): 0.0414",0.4424,2021-07-31,0.1666,0.075,0.0064,-0.0025,0.035,0.032,0.4211,0.1345,0.1706,0.1014,,0.1576,,0.0733,3.0,1.0,0.22844,,0.24468,,-0.04415,,0.15521,,,,,-0.00632,,0.11786,,0.31437,,0.14212,,0.01683,,0.17791,,0.32264,,-0.38047,,0.04402,,0.15549,,0.04685,,0.12554,,0.29092,,-0.17842,,-0.05751,,-0.05243,-1.22,1.02,1.47,94.98,19.42,0.85,15.44,,,,,,,,,,,,,,
actv,etf,us,,american century one choice blend 2015 portfolio r class,usd,small value,american century investments,pcx,nysearca,america/new_york,7411,5280.0,71334696.0,38.506,37.796,9.77,0.24486,39.9,-3.2061,-0.08035,30.13,6.5639,0.21785,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (etfs) advised by american century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. the underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large u.s. and foreign companies.",,2020-10-26,,value,small,0.0075,0.0035,0.9908,0.0,0.0283,0.0,0.0857,0.0757,0.082,0.1641,0.2019,0.111,0.0271,0.2242,0.0,2.27,9.53,15.47,1.11,,,,,,,,,,,,"avbnx (""avantis© core fixed income g""): 0.2708, agbgx (""american century global bond g""): 0.1237, avunx (""avantis© u.s. equity g""): 0.081, acllx (""american century nt focused lg cap val g""): 0.0649, apogx (""american century short dur infl probd g""): 0.0622, avgnx (""avantis© short-term fixed income g""): 0.0619, acfgx (""american century focused dynamic gr g""): 0.0526, aingx (""american century inflation-adjs bond g""): 0.0495, lvol (""american century low volatility etf""): 0.0478, avdnx (""avantis© international equity g""): 0.0414",0.2976,2021-08-31,0.2287,0.1188,0.0082,-0.0328,-0.0064,-0.0132,,0.085,,0.0496,,0.1252,,0.0574,,,,,,,,,,,,,,-0.07817,,0.05709,,0.3919,,0.19569,,-0.04368,,0.25897,,0.34941,,-0.37823,,-0.08066,,0.19763,,0.05405,,0.21014,,0.42788,,-0.09634,,0.12856,,,,,,,,,,,,,,,,,,,,,,,
acwi,etf,us,,american century one choice blend 2015 portfolio r6 class,usd,,american century investments,ngm,nasdaqgm,america/new_york,3294372,4508530.0,16854806528.0,104.135,100.907,19.52,0.18165,107.46,-5.13,-0.04774,87.94,14.39,0.16363,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (etfs) advised by american century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. the underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large u.s. and foreign companies.",0.0139,2008-03-26,0.16,blend,large,0.0032,,0.9954,0.0,0.0473,0.0987,0.1201,0.0715,0.0348,0.1558,0.1174,0.0965,0.0275,0.2041,0.0261,2.9,14.2,22.87,2.16,,,,,,,,,,,,"avbnx (""avantis© core fixed income g""): 0.2708, agbgx (""american century global bond g""): 0.1237, avunx (""avantis© u.s. equity g""): 0.081, acllx (""american century nt focused lg cap val g""): 0.0649, apogx (""american century short dur infl probd g""): 0.0622, avgnx (""avantis© short-term fixed income g""): 0.0619, acfgx (""american century focused dynamic gr g""): 0.0526, aingx (""american century inflation-adjs bond g""): 0.0495, lvol (""american century low volatility etf""): 0.0478, avdnx (""avantis© international equity g""): 0.0414",0.1504,2021-06-30,0.1234,,0.0126,,0.0711,,0.3932,,0.1465,,0.147,,0.1001,,9.0,3.0,0.16381,,0.26697,,-0.09149,,0.24346,,0.0822,,-0.02386,,0.04643,,0.22908,,0.15986,,-0.07597,,0.12314,,0.35234,,,,,,,,,,,,,,,,,,,,0.1,1.0,1.28,99.99,17.94,0.78,13.45,0.17,1.0,1.24,99.99,14.51,0.95,13.66,0.15,1.0,0.89,99.96,14.05,0.71,9.45
acwv,etf,us,,american century one choice blend 2020 portfolio investor class,usd,,american century investments,bts,bats,america/new_york,151474,192740.0,5115469824.0,105.153,103.063,14.8,0.13686,108.14,-3.72,-0.0344,93.34,11.08,0.11871,"the investment seeks the highest total return consistent with its asset mix. the fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (etfs) advised by american century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. the underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large u.s. and foreign companies.",0.0169,2011-10-18,0.22,blend,large,0.002,,0.9981,0.0,0.0473,0.137,0.0587,0.1355,0.0038,0.1121,0.1673,0.0886,0.0292,0.1476,0.073,3.12,12.95,22.88,2.09,,,,,,,,,,,,"avbnx (""avantis© core fixed income g""): 0.2666, agbgx (""american century global bond g""): 0.1177, avunx (""avantis© u.s. equity g""): 0.0896, acllx (""american century nt focused lg cap val g""): 0.0685, acfgx (""american century focused dynamic gr g""): 0.0596, apogx (""american century short dur infl probd g""): 0.0517, aingx (""american century inflation-adjs bond g""): 0.0469, ahgnx (""american century nt high income g""): 0.0451, avgnx (""avantis© short-term fixed income g""): 0.044, avdnx (""avantis© international equity g""): 0.0434",0.1197,2021-06-30,0.0711,,0.0034,,0.0521,,0.1951,,0.0977,,0.0854,,,,8.0,1.0,0.02926,,0.21321,,-0.01345,,0.18178,,0.07709,,0.03048,,0.11128,,0.17279,,0.10313,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.84,83.9,12.45,0.71,13.46,-1.11,0.64,0.74,81.13,10.43,0.74,11.56,,,,,,,
